insert into customer (id, firstName, lastName, dlNumber, zipcode) values (1, 'Carey', 'Louthe', '870-135-5712', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (2, 'Rheba', 'Misken', '561-928-1893', '361405');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (3, 'Buddy', 'Kupisz', '996-677-2882', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (4, 'Tymothy', 'Horley', '745-510-5572', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (5, 'Royal', 'Banaszkiewicz', '447-165-8231', '3733');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (6, 'Brigg', 'Dowell', '547-706-1722', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (7, 'Brigid', 'Budgett', '687-941-1316', '32630');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (8, 'Mikaela', 'Dael', '603-620-6834', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (9, 'Evvy', 'Beddie', '142-401-0169', '89000-000');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (10, 'Wallas', 'Plant', '182-686-8533', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (11, 'Noelyn', 'Longega', '985-490-3405', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (12, 'Rozina', 'Trask', '631-840-3287', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (13, 'Emma', 'Zarfai', '652-514-3124', '62560-000');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (14, 'Maryrose', 'Kilpatrick', '413-898-0814', '309999');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (15, 'Karin', 'Danels', '674-877-2437', '0188');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (16, 'Milty', 'Honnan', '653-203-3881', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (17, 'Shandra', 'Chesson', '122-684-6036', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (18, 'Sly', 'Imison', '685-764-0059', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (19, 'Trudey', 'Avramovich', '729-619-9561', '17200');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (20, 'Burgess', 'Woolam', '511-102-0998', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (21, 'Karlee', 'Guillotin', '588-153-9946', '94474 CEDEX');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (22, 'Nananne', 'Jennaroy', '646-571-9596', '662 33');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (23, 'Ciro', 'Spykings', '393-229-5525', '34330');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (24, 'Mic', 'Tomasek', '119-836-0786', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (25, 'Gwenette', 'Sebley', '302-998-5365', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (26, 'Adelheid', 'Onians', '967-603-8744', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (27, 'Babbette', 'Brittan', '168-972-7259', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (28, 'Dana', 'Maruszewski', '741-105-3185', '66999');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (29, 'Liam', 'Picton', '535-922-4562', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (30, 'Penelope', 'O''Hanlon', '165-390-1340', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (31, 'Brianne', 'McCaughren', '757-248-3684', '23459');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (32, 'Ali', 'MacBey', '590-541-5488', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (33, 'Ilene', 'Paddingdon', '584-716-3366', '75879 CEDEX 18');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (34, 'Kaitlynn', 'Rable', '177-156-0091', '352762');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (35, 'Letitia', 'Floyd', '793-351-3549', '6227');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (36, 'Leonerd', 'Piggford', '741-365-1997', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (37, 'Kathy', 'Probat', '106-414-3692', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (38, 'Garner', 'Seton', '380-314-9945', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (39, 'Les', 'Harmer', '620-724-7059', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (40, 'Seamus', 'Dearle', '853-927-0676', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (41, 'Alexio', 'Kiss', '639-196-0251', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (42, 'Ronna', 'Palk', '690-744-7972', '1814');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (43, 'Hannah', 'Worsam', '775-405-5458', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (44, 'Gabriello', 'Passman', '386-190-1561', null);
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (45, 'Salomi', 'Reedick', '759-421-8298', '55-093');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (46, 'Katha', 'Muress', '895-518-6293', '565 53');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (47, 'Tildy', 'Molineaux', '646-552-6463', '10045');
insert into customer (id, firstName, lastName, dlNumber, zipcode) values (48, 'Ebenezer', 'Scarf', '214-541-8334', null);
